"Company","Vessel Name","IMO"
"Marine Express Inc.","103","1158882"
"17 February Shipping Company Limited","17 February","9380893"
"Lind Marine, Inc.","201","D503918"
"Lind Marine, Inc.","201","D503918"
"Intrepid Ship Management, Inc.","550-1","9270309"
"Intrepid Ship Management, Inc.","550-2","9270311"
"Intrepid Ship Management, Inc.","550-3","9271107"
"Intrepid Ship Management, Inc.","550-4","9271092"
"Intrepid Ship Management, Inc.","650-1","9369318"
"Intrepid Ship Management, Inc.","650-2","9369320"
"Intrepid Ship Management, Inc.","650-3","9369332"
"Intrepid Ship Management, Inc.","650-4","9369344"
"Intrepid Ship Management, Inc.","650-5","9369356"
"Intrepid Ship Management, Inc.","650-6","9369368"
"Intrepid Ship Management, Inc.","650-7","9542611"
"Intrepid Ship Management, Inc.","650-8","9542623"
"Intrepid Ship Management, Inc.","750-1","9475076"
"Intrepid Ship Management, Inc.","750-2","9475337"
"Intrepid Ship Management, Inc.","750-3","9475351"
"AAL Bangkok Navigation Company Limited","AAL Bangkok","9521564"
"AAL Brisbane Navigation Company Limited","AAL Brisbane","9498341"
"AAL Dalian Navigation Company Limited","AAL Dalian","9498470"
"AAL Dampier Navigation Company Limited","AAL Dampier","9521540"
"AAL Fremantle Navigation Company Limited","AAL Firemantle","9521095"
"AAL Hong Kong Navigation Company Limited","AAL Hong Kong","9498468"
"AAL Kembla Navigation Company Limited","AAL Kembla","9498353"
"AAL Kobe Navigation Company Limited","AAL Kobe","9498444"
"AAL Melbourne Navigation Company Limited","AAL Melbourne","9498456"
"AAL Newcastle Navigation Company Limited","AAL Newcastle","9498482"
"AAL Pusan Navigation Company Limited","AAL Pusan","9498389"
"AAL Singapore Navigation Company Limited","AAL Singapore","9498365"
"Massoel Shipping SA","Aargau","9583897"
"Eastern Mediterranean Maritime Limited","Abliani","9693068"
"The National Shipping Company of Saudi Arabia","Abgaiq","9247182"
"Sincere Industrial Corporation","AC Amity","9623116"
"Sincere Industrial Corporation","ACKathryn","9310745"
"Bright Charter Shipping Limited","AC Sesoda","9470791"
"Bright Charter Shipping Limited","AC Splendor","9288239"
"Westiv Shipping Inc","Acadia Park","9780548"
"Intrepid Ship Management, Inc.","Achievement","9542568"
"Mount Shipping Co., Ltd.","Achilleas","9458494"
"Achilleas Carriers Corp.","Achilleas","9398072"
"Bright Charter Shipping Limited","Achilles Bulker","9270907"
"Isiodos Product Carrier SA","Active","9700342"
"Chinese-Polish Joint Stock Shipping Company","Adam Asnyk","9432115"
"Benetech Shipping SA","Adamas |","9428683"
"Rizzo-Bottiglieri-De Carlini Armatori SoA","Adele Marina Rizzo","9434890"
"Swiss Singapore Shipping Pte. Ltd.","Aditya","9392729"
"Adria Maritime Limited","Adria Ace","9446881"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Adriatic Highway","9442885"
"Heroic Scutum Inc.","Adriatic Wave","9387918"
"OSM Ship Management Pte. Ltd.","ADS Arendal","9304186"
"OSM Ship Management AS","ADS Oslo","9259197"
"Hasbro Investments Inc.","Advance","9442225"
"Transpetrol TM AS","Advance II","9289788"
"The Green Team Inc","Ad-Vantage","9643063"
"Genel Denizcilik Nakliyati AS","Advantage Anthem","9472634"
"Genel Denizcilik Nakliyati AS","Advantage Arrow","9419448"
"Genel Denizcilik Nakliyati AS","Advantage Atom","9472622"
"Genel Denizcilik Nakliyati AS","Advantage Avenue","9419450"
"Genel Denizcilik Nakliyati AS","Advantage Award","9470131"
"Genel Denizcilik Nakliyati AS","Advantage Sky","9419888"
"Genel Denizcilik Nakliyati AS","Advantage Solar","9408683"
"Genel Denizcilik Nakliyati AS","Advantage Spring","9466582"
"Genel Denizcilik Nakliyati AS","Advantage Start","9466570"
"Genel Denizcilik Nakliyati AS","Advantage Summer","9419890"
"Genel Denizcilik Nakliyati AS","Advantage Sun","9513141"
"Eastern Mediterranean Maritime Limited","Adventure","9286073"
"Coral Shipping Corp.","Adventurous","9308778"
"Euronav NV","Aegean","9732553"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Aegean Highway","9464388"
"NYK Shiomanagement Pte. Ltd.","Aegean Leader","9054119"
"Arcadia Shipmanagement Co., Ltd.","Aegean Nobility","9345441"
"World Faith Co.","Aegean Unity","9745237"
"Heroic Tucana Inc.","Aegean Wave","9387920"
"Victory Spirit SA","Aegeas","9315800"
"Aegiali Maritime Corporation","Aegiali","9260902"
"Aeriko Marine S.A.","Aeriko","9681546"
"Transpetrol TM AS","Affinity V","9645401"
"B&S Enterprise Co., Ltd.","African Alke","9766231"
"B&S Enterprise Co., Ltd.","African Alke","9766231"
"Yano Kaiun Co., Ltd.","African Arrow","9727297"
"Dockendale Ship Management DMC Co.","African Dove","9682772"
"Dockendale Ship Management DMC Co.","African Eagle","9257046"
"Dockendale Ship Management DMC Co.","African Egret","9749996"
"Imecs Co., Ltd.","African Finfoot","9748473"
"Dockendale Ship Management DMC Co.","African Heron","9750000"
"Paraiso Shipping SA/Shoei Kisen Kaisha, Ltd.","African Leopard","9767572"
"Dockendale Ship Management DMC Co.","African Macaw","9767431"
"Dockendale Ship Management DMC Co.","African Piper","9692777"
"Toei Korea Ltd.","African Quail","9738741"
"Technomar Shipping Inc.","African Queen","9389930"
"Dockendale Ship Management DMC Co.","African Raven","9700287"
"Teekay Shipping Limited","African Spirit","9250737"
"M & N Shipping Corporation","African Spoonbill","9701712"
"Dockendale Ship Management DMC Co.","African Swan","9303364"
"Bridgetower Limited","African Venture","9612131"
"Southport Marine SA","Afrodite","9292620"
"Afroditi Navigation Inc.","Afroditi","9452880"
"Alassia NewShips Management, Inc.","Afroessa","9666522"
"AG Shipping & Energy Pte. Ltd.","AG Mars","9337315"
"Agamemnon Container Carrier Corp.","Agamemnon","9315381"
"Eletson Corporation","Agathonissos","9232448"
"Agena SA","Agena","9587831"
"Agia Skepi Shipping Inc.","Agia Skepi","9174634"
"Technomar Shipping Inc.","Agios Dimitrios","9349605"
"Eastern Mediterranean Maritime Limited","Agios Gerasimos","9693056"
"Agios Minas Shipping Company","Agios Minas","9221839"
"Pentakomo Shipping Corporation","Agios Spyridonas","9438676"
"Polarwind Maritine SA","Agisilaos","9315745"
"Forward Ltd.","Aaistri","9597018"
"M.T.M. Ship Management Pte. Ltd.","Agnes Victory","9258600"
"Lois Maritime Ltd.","Aagrari","9389083"
"Alias Carriers Corp.","Alias","9337004"
"De Poli Shipmanagement","Aigran D","9138408"
"LSC SIA","Ainazi","9323405"
"Tempest Maritime Inc.","Aiolos","9315769"
"Asahi Tanker Co., Ltd.","Akatsuki Maru","9473729"
"Laredo Maritime Inc.","Akeraios","9328297"
"Rema Maritime Limited","Aktea R","9554171"
"Centurion Navigation Limited","Aktoras","9312925"
"Al Agaila Oil Company Limited","Al Agaila","9415404"
